Mês/Ano;Estado;Qtd
jul/15;PA;1
ago/15;PA;7
set/15;PA;2
out/15;PA;4
nov/15;PA;9
dez/15;PA;3
jan/16;PA;5
fev/16;PA;3
mar/16;PA;6
abr/16;PA;7
mai/16;PA;9
jun/16;PA;12
jul/16;PA;8
ago/16;PA;8
set/16;PA;7
out/16;PA;8
nov/16;PA;8
dez/16;PA;7
jan/17;PA;7
fev/17;PA;9
mar/17;PA;4
abr/17;PA;6
mai/17;PA;11
jun/17;PA;12
jul/17;PA;7
ago/17;PA;13
set/17;PA;12
out/17;PA;9
nov/17;PA;10
dez/17;PA;11
jan/18;PA;5
fev/18;PA;15
mar/18;PA;10
abr/18;PA;10
mai/18;PA;14
jun/18;PA;8
jul/18;PA;14
ago/18;PA;9
set/18;PA;12
out/18;PA;7
nov/18;PA;16
dez/18;PA;10
jan/19;PA;6
fev/19;PA;11
mar/19;PA;9
abr/19;PA;13
mai/19;PA;23
jun/19;PA;34
jul/19;PA;21
ago/19;PA;33
set/19;PA;44
out/19;PA;29
nov/19;PA;33
dez/19;PA;16
jan/20;PA;19
fev/20;PA;18
mar/20;PA;14
abr/20;PA;6
mai/20;PA;0
jun/20;PA;0
jul/20;PA;0
ago/20;PA;0
set/20;PA;0
out/20;PA;0
nov/20;PA;0
dez/20;PA;0
jan/07;AP;0
fev/07;AP;0
mar/07;AP;0
abr/07;AP;0
mai/07;AP;0
jun/07;AP;0
jul/07;AP;0
ago/07;AP;0
set/07;AP;0
out/07;AP;0
nov/07;AP;0
dez/07;AP;0
jan/08;AP;0
fev/08;AP;0
mar/08;AP;0
abr/08;AP;0
mai/08;AP;0
jun/08;AP;0
jul/08;AP;0
ago/08;AP;0
set/08;AP;0
out/08;AP;0
nov/08;AP;0
dez/08;AP;0
jan/09;AP;0
fev/09;AP;0
mar/09;AP;0
abr/09;AP;0
mai/09;AP;0
jun/09;AP;0
jul/09;AP;0
ago/09;AP;0
set/09;AP;0
out/09;AP;0
nov/09;AP;0
dez/09;AP;0
jan/10;AP;0
fev/10;AP;0
mar/10;AP;0
abr/10;AP;0
mai/10;AP;0
jun/10;AP;0
jul/10;AP;0
ago/10;AP;0
set/10;AP;0
out/10;AP;0
nov/10;AP;0
dez/10;AP;0
jan/11;AP;0
fev/11;AP;0
mar/11;AP;0
abr/11;AP;0
mai/11;AP;0
jun/11;AP;0
jul/11;AP;0
ago/11;AP;0
set/11;AP;0
out/11;AP;0
nov/11;AP;0
dez/11;AP;0
jan/12;AP;0
fev/12;AP;0
mar/12;AP;0
abr/12;AP;0
mai/12;AP;0
jun/12;AP;0
jul/12;AP;0
ago/12;AP;0
set/12;AP;1
out/12;AP;0
nov/12;AP;0
dez/12;AP;0
jan/13;AP;0
fev/13;AP;0
mar/13;AP;0
abr/13;AP;0
mai/13;AP;0
jun/13;AP;0
jul/13;AP;0
ago/13;AP;0
set/13;AP;3
out/13;AP;4
nov/13;AP;1
dez/13;AP;0
jan/14;AP;0
fev/14;AP;0
mar/14;AP;0
abr/14;AP;1
mai/14;AP;0
jun/14;AP;0
jul/14;AP;1
ago/14;AP;0
set/14;AP;0
out/14;AP;1
nov/14;AP;0
dez/14;AP;0
jan/15;AP;0
fev/15;AP;0
mar/15;AP;0
abr/15;AP;0
mai/15;AP;0
jun/15;AP;0
jul/15;AP;0
ago/15;AP;0
set/15;AP;0
out/15;AP;0
nov/15;AP;0
dez/15;AP;0
jan/16;AP;0
fev/16;AP;1
mar/16;AP;1
abr/16;AP;1
mai/16;AP;0
jun/16;AP;0
jul/16;AP;0
ago/16;AP;1
set/16;AP;0
out/16;AP;2
nov/16;AP;0
dez/16;AP;0
jan/17;AP;0
fev/17;AP;1
mar/17;AP;1
abr/17;AP;0
mai/17;AP;3
jun/17;AP;0
jul/17;AP;0
ago/17;AP;0
set/17;AP;0
out/17;AP;0
nov/17;AP;0
dez/17;AP;0
jan/18;AP;1
fev/18;AP;0
mar/18;AP;1
abr/18;AP;0
mai/18;AP;2
jun/18;AP;0
jul/18;AP;1
ago/18;AP;2
set/18;AP;7
out/18;AP;2
nov/18;AP;5
dez/18;AP;0
jan/19;AP;5
fev/19;AP;2
mar/19;AP;7
abr/19;AP;4
mai/19;AP;2
jun/19;AP;4
jul/19;AP;6
ago/19;AP;6
set/19;AP;2
out/19;AP;3
nov/19;AP;3
dez/19;AP;0
jan/20;AP;0
fev/20;AP;0
mar/20;AP;1
abr/20;AP;2
mai/20;AP;0
jun/20;AP;0
jul/20;AP;0
ago/20;AP;0
set/20;AP;0
out/20;AP;0
nov/20;AP;0
dez/20;AP;0
jan/07;TO;1
fev/07;TO;9
mar/07;TO;4
abr/07;TO;5
mai/07;TO;6
jun/07;TO;2
jul/07;TO;3
ago/07;TO;0
set/07;TO;7
out/07;TO;17
nov/07;TO;4
dez/07;TO;3
jan/08;TO;6
fev/08;TO;3
mar/08;TO;5
abr/08;TO;6
mai/08;TO;3
jun/08;TO;15
jul/08;TO;21
ago/08;TO;9
set/08;TO;7
out/08;TO;15
nov/08;TO;9
dez/08;TO;14
jan/09;TO;7
fev/09;TO;16
mar/09;TO;24
abr/09;TO;18
mai/09;TO;15
jun/09;TO;20
jul/09;TO;27
ago/09;TO;13
set/09;TO;17
out/09;TO;19
nov/09;TO;11
dez/09;TO;9
jan/10;TO;16
fev/10;TO;15
mar/10;TO;20
abr/10;TO;19
mai/10;TO;14
jun/10;TO;14
jul/10;TO;19
ago/10;TO;29
set/10;TO;22
out/10;TO;30
nov/10;TO;18
